date,home_team,away_team,neutral,home_score,away_score,competition,synthetic
2022-01-05,Algeria,Ghana,1,3,0,Friendly,0
2022-01-09,Ethiopia,Cape Verde,1,0,1,African Cup of Nations,0
2022-01-10,Senegal,Zimbabwe,1,1,0,African Cup of Nations,0
2022-01-10,Morocco,Ghana,1,1,0,African Cup of Nations,0
2022-01-11,Nigeria,Egypt,1,1,0,African Cup of Nations,0
2022-01-11,Algeria,Sierra Leone,1,0,0,African Cup of Nations,0
2022-01-12,Equatorial Guinea,Ivory Coast,1,0,1,African Cup of Nations,0
2022-01-12,Tunisia,Mali,1,0,1,African Cup of Nations,0
2022-01-13,Cape Verde,Burkina Faso,1,0,1,African Cup of Nations,0
2022-01-14,Senegal,Guinea,1,0,0,African Cup of Nations,0
2022-01-14,Morocco,Comoros,1,2,0,African Cup of Nations,0
2022-01-14,Gabon,Ghana,1,1,1,African Cup of Nations,0
2022-01-15,South Korea,Iceland,1,5,1,Friendly,0
2022-01-15,Guinea-Bissau,Egypt,1,0,1,African Cup of Nations,0
2022-01-16,Colombia,Honduras,1,2,1,Friendly,0
2022-01-16,Peru,Panama,0,1,1,Friendly,0
2022-01-16,Ivory Coast,Sierra Leone,1,2,2,African Cup of Nations,0
2022-01-16,Algeria,Equatorial Guinea,1,0,1,African Cup of Nations,0
2022-01-16,Tunisia,Mauritania,1,4,0,African Cup of Nations,0
2022-01-17,Cameroon,Cape Verde,0,1,1,African Cup of Nations,0
2022-01-18,Malawi,Senegal,1,0,0,African Cup of Nations,0
2022-01-18,Gabon,Morocco,1,2,2,African Cup of Nations,0
2022-01-18,Ghana,Comoros,1,2,3,African Cup of Nations,0
2022-01-19,Egypt,Sudan,1,1,0,African Cup of Nations,0
2022-01-20,South Korea,Moldova,1,4,0,Friendly,0
2022-01-20,Ivory Coast,Algeria,1,3,1,African Cup of Nations,0
2022-01-20,Gambia,Tunisia,1,1,0,African Cup of Nations,0
2022-01-21,Iraq,Uganda,0,1,0,Friendly,0
2022-01-23,Nigeria,Tunisia,1,0,1,African Cup of Nations,0
2022-01-25,Morocco,Malawi,1,2,1,African Cup of Nations,0
2022-01-25,Senegal,Cape Verde,1,2,0,African Cup of Nations,0
2022-01-26,Ivory Coast,Egypt,1,0,0,African Cup of Nations,0
2022-01-27,Uzbekistan,South Sudan,1,3,0,Friendly,0
2022-01-27,Jamaica,Mexico,0,1,2,FIFA World Cup qualification,0
2022-01-27,United States,El Salvador,0,1,0,FIFA World Cup qualification,0
2022-01-27,Honduras,Canada,0,0,2,FIFA World Cup qualification,0
2022-01-27,Costa Rica,Panama,0,1,0,FIFA World Cup qualification,0
2022-01-27,Lebanon,South Korea,0,0,1,FIFA World Cup qualification,0
2022-01-27,Iran,Iraq,0,1,0,FIFA World Cup qualification,0
2022-01-27,Japan,China,0,2,0,FIFA World Cup qualification,0
2022-01-27,Australia,Vietnam,0,4,0,FIFA World Cup qualification,0
2022-01-27,Saudi Arabia,Oman,0,1,0,FIFA World Cup qualification,0
2022-01-27,Ecuador,Brazil,0,1,1,FIFA World Cup qualification,0
2022-01-27,Paraguay,Uruguay,0,0,1,FIFA World Cup qualification,0
2022-01-27,Chile,Argentina,0,1,2,FIFA World Cup qualification,0
2022-01-28,Jordan,New Zealand,1,3,1,Friendly,0
2022-01-28,Colombia,Peru,0,0,1,FIFA World Cup qualification,0
2022-01-29,Burkina Faso,Tunisia,1,1,0,African Cup of Nations,0
2022-01-30,Egypt,Morocco,1,2,1,African Cup of Nations,0
2022-01-30,Senegal,Equatorial Guinea,1,3,1,African Cup of Nations,0
2022-01-30,Canada,United States,0,2,0,FIFA World Cup qualification,0
2022-01-30,Mexico,Costa Rica,0,0,0,FIFA World Cup qualification,0
2022-01-30,Panama,Jamaica,0,3,2,FIFA World Cup qualification,0
2022-02-01,Bahrain,DR Congo,0,1,0,Friendly,0
2022-02-01,Lebanon,Iraq,0,1,1,FIFA World Cup qualification,0
2022-02-01,Iran,United Arab Emirates,0,1,0,FIFA World Cup qualification,0
2022-02-01,Syria,South Korea,1,0,2,FIFA World Cup qualification,0
2022-02-01,Japan,Saudi Arabia,0,2,0,FIFA World Cup qualification,0
2022-02-01,Oman,Australia,0,2,2,FIFA World Cup qualification,0
2022-02-01,Uruguay,Venezuela,0,4,1,FIFA World Cup qualification,0
2022-02-01,Argentina,Colombia,0,1,0,FIFA World Cup qualification,0
2022-02-01,Peru,Ecuador,0,1,1,FIFA World Cup qualification,0
2022-02-01,Brazil,Paraguay,0,4,0,FIFA World Cup qualification,0
2022-02-02,Burkina Faso,Senegal,1,1,3,African Cup of Nations,0
2022-02-02,United States,Honduras,0,3,0,FIFA World Cup qualification,0
2022-02-02,El Salvador,Canada,0,0,2,FIFA World Cup qualification,0
2022-02-02,Mexico,Panama,0,1,0,FIFA World Cup qualification,0
2022-02-03,Cameroon,Egypt,0,0,0,African Cup of Nations,0
2022-02-06,Senegal,Egypt,1,0,0,African Cup of Nations,0
2022-03-18,Papua New Guinea,New Zealand,1,0,1,FIFA World Cup qualification,0
2022-03-18,Iraq,Zambia,0,3,1,Friendly,0
2022-03-21,New Zealand,Fiji,1,4,0,FIFA World Cup qualification,0
2022-03-23,Guadeloupe,Cape Verde,1,0,2,Friendly,0
2022-03-24,Mexico,United States,0,0,0,FIFA World Cup qualification,0
2022-03-24,Panama,Honduras,0,1,1,FIFA World Cup qualification,0
2022-03-24,Costa Rica,Canada,0,1,0,FIFA World Cup qualification,0
2022-03-24,Iraq,United Arab Emirates,1,1,0,FIFA World Cup qualification,0
2022-03-24,South Korea,Iran,0,2,0,FIFA World Cup qualification,0
2022-03-24,China,Saudi Arabia,1,1,1,FIFA World Cup qualification,0
2022-03-24,Australia,Japan,0,0,2,FIFA World Cup qualification,0
2022-03-24,New Zealand,New Caledonia,1,7,1,FIFA World Cup qualification,0
2022-03-24,Colombia,Bolivia,0,3,0,FIFA World Cup qualification,0
2022-03-24,Brazil,Chile,0,4,0,FIFA World Cup qualification,0
2022-03-24,Paraguay,Ecuador,0,3,1,FIFA World Cup qualification,0
2022-03-24,Uruguay,Peru,0,1,0,FIFA World Cup qualification,0
2022-03-24,Portugal,Turkey,0,3,1,FIFA World Cup qualification,0
2022-03-24,Sweden,Czech Republic,0,1,0,FIFA World Cup qualification,0
2022-03-24,Wales,Austria,0,2,1,FIFA World Cup qualification,0
2022-03-24,Scotland,Poland,0,1,1,Friendly,0
2022-03-25,Cameroon,Algeria,0,0,1,FIFA World Cup qualification,0
2022-03-25,DR Congo,Morocco,0,1,1,FIFA World Cup qualification,0
2022-03-25,Egypt,Senegal,0,1,0,FIFA World Cup qualification,0
2022-03-25,Ghana,Nigeria,0,0,0,FIFA World Cup qualification,0
2022-03-25,Mali,Tunisia,0,0,1,FIFA World Cup qualification,0
2022-03-25,Argentina,Venezuela,0,3,0,FIFA World Cup qualification,0
2022-03-25,Bosnia and Herzegovina,Georgia,0,0,1,Friendly,0
2022-03-25,Cape Verde,Liechtenstein,1,6,0,Friendly,0
