market,selection,odds,format,source,timestamp
tournament_winner,Mexico,124.2,decimal,SAMPLE,2026-06-01
tournament_winner,South Africa,621.4,decimal,SAMPLE,2026-06-01
tournament_winner,South Korea,212.5,decimal,SAMPLE,2026-06-01
tournament_winner,Czech Republic,383.4,decimal,SAMPLE,2026-06-01
tournament_winner,Canada,293.2,decimal,SAMPLE,2026-06-01
tournament_winner,Bosnia and Herzegovina,501.4,decimal,SAMPLE,2026-06-01
tournament_winner,Qatar,501.4,decimal,SAMPLE,2026-06-01
tournament_winner,Switzerland,100.2,decimal,SAMPLE,2026-06-01
tournament_winner,Brazil,9.0,decimal,SAMPLE,2026-06-01
tournament_winner,Morocco,68.9,decimal,SAMPLE,2026-06-01
tournament_winner,Haiti,2252.4,decimal,SAMPLE,2026-06-01
tournament_winner,Scotland,326.4,decimal,SAMPLE,2026-06-01
tournament_winner,United States,154.0,decimal,SAMPLE,2026-06-01
tournament_winner,Paraguay,363.4,decimal,SAMPLE,2026-06-01
tournament_winner,Australia,277.9,decimal,SAMPLE,2026-06-01
tournament_winner,Turkey,180.9,decimal,SAMPLE,2026-06-01
tournament_winner,Germany,26.2,decimal,SAMPLE,2026-06-01
tournament_winner,Curacao,1466.3,decimal,SAMPLE,2026-06-01
tournament_winner,Ivory Coast,293.2,decimal,SAMPLE,2026-06-01
tournament_winner,Ecuador,124.2,decimal,SAMPLE,2026-06-01
tournament_winner,Netherlands,15.3,decimal,SAMPLE,2026-06-01
tournament_winner,Japan,111.6,decimal,SAMPLE,2026-06-01
tournament_winner,Sweden,236.5,decimal,SAMPLE,2026-06-01
tournament_winner,Tunisia,475.2,decimal,SAMPLE,2026-06-01
tournament_winner,Belgium,23.5,decimal,SAMPLE,2026-06-01
tournament_winner,Egypt,326.4,decimal,SAMPLE,2026-06-01
tournament_winner,Iran,263.3,decimal,SAMPLE,2026-06-01
tournament_winner,New Zealand,2023.2,decimal,SAMPLE,2026-06-01
tournament_winner,Spain,5.8,decimal,SAMPLE,2026-06-01
tournament_winner,Cape Verde,770.1,decimal,SAMPLE,2026-06-01
tournament_winner,Saudi Arabia,621.4,decimal,SAMPLE,2026-06-01
tournament_winner,Uruguay,44.8,decimal,SAMPLE,2026-06-01
tournament_winner,France,5.2,decimal,SAMPLE,2026-06-01
tournament_winner,Senegal,95.0,decimal,SAMPLE,2026-06-01
tournament_winner,Iraq,1062.7,decimal,SAMPLE,2026-06-01
tournament_winner,Norway,212.5,decimal,SAMPLE,2026-06-01
tournament_winner,Argentina,4.2,decimal,SAMPLE,2026-06-01
tournament_winner,Algeria,277.9,decimal,SAMPLE,2026-06-01
tournament_winner,Austria,145.9,decimal,SAMPLE,2026-06-01
tournament_winner,Jordan,1183.0,decimal,SAMPLE,2026-06-01
tournament_winner,Portugal,13.8,decimal,SAMPLE,2026-06-01
tournament_winner,DR Congo,621.4,decimal,SAMPLE,2026-06-01
tournament_winner,Uzbekistan,770.1,decimal,SAMPLE,2026-06-01
tournament_winner,Colombia,55.6,decimal,SAMPLE,2026-06-01
tournament_winner,England,11.1,decimal,SAMPLE,2026-06-01
tournament_winner,Croatia,55.6,decimal,SAMPLE,2026-06-01
tournament_winner,Ghana,529.0,decimal,SAMPLE,2026-06-01
tournament_winner,Panama,621.4,decimal,SAMPLE,2026-06-01
